k,Uniform,BetaBinomial α=0.75 β=1.5,BetaBinomial α=1.0 β=1.0,BetaBinomial α=0.5 β=0.5,BetaBinomial α=1.0 β=5.0,Dirichlet Process α=0.5,Dirichlet Process α=1.887,Dirichlet Process α=1.0,Dirichlet Process α=3.0
0,-3.9512437185814275,-1.0161360668438715,-1.6094379124341003,-1.2966822024302038,-0.58778666490212,-6.851184927493743,-3.2372276353393747,-4.787491742782046,-2.3389527371649184
1,-1.6486586255873816,-1.4216011749520352,-1.6094379124341003,-1.856297990365626,-1.2809338454620671,-3.855452653939752,-1.569630808731743,-2.484906649788,-1.1349799328389825
2,-0.732367893713227,-1.7092832474038164,-1.6094379124341003,-1.9616585060234528,-2.1282317058492697,-1.9095425048844388,-0.9518561066227882,-1.2321436812926323,-0.9808292530117253
3,-1.2431935174792175,-2.0194381757076556,-1.6094379124341003,-1.856297990365626,-3.226843994517379,-0.8597203803857609,-1.230169429070469,-0.8754687373538999,-1.722766597741102
4,-3.9512437185814275,-2.4894418049533913,-1.6094379124341003,-1.2966822024302038,-4.836281906951479,-0.9005423749060162,-2.5991268705370816,-1.6094379124341,-3.555348061489412
